DN,PN6_S,PN6_Sp,PN10_S,PN10_Sp,PN16_S,PN16_Sp,PN25_S,PN25_Sp
10,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
15,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
20,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3
25,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6
32,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6
40,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6
50,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9
65,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9
80,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2
100,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6
125,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
150,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5
200,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3
250,6.3,6.3,6.3,6.3,6.3,6.3,7.1,7.1
300,7.1,7.1,7.1,7.1,7.1,7.1,8.0,8.0
350,7.1,7.1,7.1,7.1,8.0,8.0,8.0,8.0
400,7.1,7.1,7.1,7.1,8.0,8.0,8.8,8.8
450,7.1,7.1,7.1,7.1,8.8,8.0,8.8,8.8
500,7.1,7.1,7.1,7.1,8.8,8.0,10.0,10.0
600,7.1,7.1,8.0,7.1,11.0,8.8,12.5,11.0
700,8.0,7.1,8.8,8.0,11.0,8.8,14.2,12.5
800,8.0,7.1,8.8,8.0,12.5,10.0,16.0,14.2